"Symbol","Type","Label"
"URS0000759CF4_9606","OB",1
"CBFB","OB",1
"RUNX2","OB",1
"SMO","OB",1
"UCMA","OB",1
"SOX2","OB",1
"CCN1","OB",1
"MSX2","OB",1
"LGR4","OB",1
"DHH","OB",1
"ADAR","OB",1
"MRC2","OB",1
"SND1","OB",1
"ALPL","OB",1
"BMP3","OB",1
"CLEC5A","OB",1
"RRBP1","OB",1
"UFL1","OB",1
"CTHRC1","OB",1
"AKT1","OB",1
"SMAD1","OB",1
"ATP5F1B","OB",1
"SMAD5","OB",1
"RBMX","OB",1
"SHH","OB",1
"RSPO2","OB",1
"BMPR1A","OB",1
"IBSP","OB",1
"IGF2","OB",1
"CLTC","OB",1
"WNT11","OB",1
"LOX","OB",1
"TMEM119","OB",1
"NF1","OB",1
"PTH1R","OB",1
"GTPBP4","OB",1
"HAND2","OB",1
"LRRC17","OB",1
"WWOX","OB",1
"FIGNL1","OB",1
"GLI1","OB",1
"SATB2","OB",1
"IARS1","OB",1
"SHOX2","OB",1
"WWTR1","OB",1
"IGFBP5","OB",1
"WNT3","OB",1
"TNC","OB",1
"DLX5","OB",1
"BMPR2","OB",1
"RDH14","OB",1
"AMELX","OB",1
"HNRNPU","OB",1
"HSD17B4","OB",1
"FGF9","OB",1
"JUND","OB",1
"MAPK11","OB",1
"RSL1D1","OB",1
"MYOC","OB",1
"TP53INP2","OB",1
"SP7","OB",1
"ACHE","OB",1
"MEN1","OB",1
"BMPR1B","OB",1
"SFRP1","OB",1
"PENK","OB",1
"HSPE1","OB",1
"ALYREF","OB",1
"TWIST1","OB",1
"RRAS2","OB",1
"FHL2","OB",1
"MT-RNR1","OB",1
"CYP24A1","OB",1
"FZD1","OB",1
"VCAN","OB",1
"PHB1","OB",1
"CTNNB1","OB",1
"LEF1","OB",1
"MAPK14","OB",1
"SIRT7","OB",1
"DDX21","OB",1
"PTHLH","OB",1
"DHX9","OB",1
"TNN","OB",1
"TMT1A","OB",1
"BCAP29","OB",1
"FBL","OB",1
"BMP6","OB",1
"COL1A1","OB",1
"SYNCRIP","OB",1
"MYBBP1A","OB",1
"BMP4","OB",1
"BMP2","OB",1
"SNAI1","OB",1
"MEF2C","OB",1
"ITGA11","OB",1
"COL6A1","OB",1
"EPHA2","OB",1
"SNRNP200","OB",1
"PSMC2","OB",1
"HOXA2","OB",1
"MAP2K6","OB",1
"LIMD1","OB",1
"HIRA","OB",1
"LRP5","OB",1
"AXIN2","OB",1
"CCL3","OB",1
"IHH","OB",1
"CCDC47","OB",1
"GDF2","OB",1
"FASN","OB",1
"SMAD4","OB",1
"CAT","OB",1
"NOG","OB",1
"IFT80","OB",1
"BGLAP","OB",1
"ASF1A","OB",1
"GABBR1","OB",1
"HNRNPC","OB",1
"FGF2","OB",1
"CCN4","OB",1
"DNAJC13","OB",1
"MEF2D","OB",1
"GLI3","OB",1
"GLI2","OB",1
"IGFBP3","OB",1
"SMAD3","OB",1
"TPM4","OB",1
"RPS15","OB",1
"SPP1","OB",1
"NR1I3","OB",1
"CREB3L1","OB",1
"H3-3A","OB",1
"JUNB","OB",1
"SEMA7A","OB",1
"FBXO9","Fat",0
"SMAD6","Fat",0
"WNT5B","Fat",0
"MAFB","Fat",0
"FAM120B","Fat",0
"IL11","Fat",0
"SLC39A13","Fat",0
"STEAP4","Fat",0
"HMGA2","Fat",0
"GPX1","Fat",0
"FABP3","Fat",0
"CEBPD","Fat",0
"CEBPA","Fat",0
"DHRS7B","Fat",0
"CEBPB","Fat",0
"CLIP3","Fat",0
"SREBF1","Fat",0
"LRRC8C","Fat",0
"PDGFRA","Fat",0
"ANGPTL8","Fat",0
"NOC3L","Fat",0
"BBS9","Fat",0
"ADGRF5","Fat",0
"EP300","Fat",0
"BBS7","Fat",0
"RETN","Fat",0
"METRNL","Fat",0
"EBF2","Fat",0
"AKT2","Fat",0
"EGR2","Fat",0
"MED1","Fat",0
"PSMB8","Fat",0
"PPARG","Fat",0
"CBY1","Fat",0
"BSCL2","Fat",0
"NR4A1","Fat",0
"SIRT1","Fat",0
"PRDM16","Fat",0
"BBS1","Fat",0
"ADIG","Fat",0
"ATF5","Fat",0
"ERO1A","Fat",0
"ZBTB7A","Fat",0
"TGFB1I1","Fat",0
"ARID5B","Fat",0
"NPR2","Fat",0
"NUDT7","Fat",0
"ADRB3","Fat",0
"FABP4","Fat",0
"ARL4A","Fat",0
"OSBPL11","Fat",0
"C1QTNF3","Fat",0
"PPARGC1A","Fat",0
"GATA2","Fat",0
"SH2B2","Fat",0
"PLCB1","Fat",0
"ATF2","Fat",0
"PID1","Fat",0
"NR4A3","Fat",0
"SENP2","Fat",0
"BNIP3","Fat",0
"FOXO1","Fat",0
"PTGS2","Fat",0
"RNASEL","Fat",0
"ADRB1","Fat",0
"LAMB3","Fat",0
"CTBP2","Fat",0
"ALDH6A1","Fat",0
"CNTN2","Fat",0
"ADIPOQ","Fat",0
"KCNJ8","Fat",0
"NR4A2","Fat",0
"TBL1XR1","Fat",0
"OSBPL8","Fat",0
"ZFPM2","Fat",0
"ZNF516","Fat",0
"FFAR4","Fat",0
"JDP2","Fat",0
"GRK5","Fat",0
"PLAC8","Fat",0
"CTBP1","Fat",0
"ERAP1","Fat",0
"INHBB","Fat",0
"BBS4","Fat",0
"LRG1","Fat",0
"MKKS","Fat",0
"CCND1","Fat",0
"TRIM32","Fat",0
"ADGRF1","Fat",0
"RGS2","Fat",0
"WNT1","Fat",0
"SLC2A4","Fat",0
"ALOXE3","Fat",0
"RETREG1","Fat",0
"PRLH","Fat",0
"SDF4","Fat",0
"PIAS1","Fat",0
"PEX11A","Fat",0
"ADRB2","Fat",0
"TMEM120B","Fat",0
"PNPLA3","Fat",0
"MB","Fat",0
"TCF7L2","Fat",0
"UCP1","Fat",0
"PER2","Fat",0
"BBS12","Fat",0
"TMEM120A","Fat",0
"GDF6","Fat",0
"BBS2","Fat",0
"FFAR2","Fat",0
"SOCS1","Fat",0
"FGF10","Fat",0
"NIPBL","Fat",0
"TFAP2B","Fat",0
"TTC8","Fat",0
"KLF4","Fat",0
